place-name,type,notes
place sainte-opportune,plaza,
rue sainte-opportune,street,
impasse saint-eustache,street,
rue saint-florentin,street,
rue saint-germain-l'auxerrois,street,
rue saint-honoré,street,
rue saint-hyacinthe,street,
allée saint-john-perse,street,
pont saint-michel,bridge,
passage saint-roch,street,
rue saint-roch,street,
rue sauval,street,
boulevard de sébastopol,street,
rue thérèse,street,
impasse des trois-visages,street,
port des tuileries,street,
quai des tuileries,street,
rue de turbigo,street,
place de valois,plaza,
rue de valois,street,
rue vauvilliers,street,
cour vendôme,street,
place vendôme,plaza,
rue de ventadour,street,
passage vérité,street,
galerie véro-dodat,covered passage,
rue de viarmes,street,
place des victoires,plaza,
avenue victoria,street,
rue villedo,street,
rue du vingt-neuf-juillet,street,
galerie vivienne,covered passage,
rue vivienne,street,
rue volney,street,
quai andré-citroën,street,
quai d'orsay,street,
quai des célestins,street,
quai louis-blériot,street,
quai voltaire,street,
arc de triomphe,monument,"arc de triomphe de l'étoile, triumphal arch, arch of triumph"
hôtel de marigny,government building,marigny
pavillon ledoyen,restaurant,
avenue charles-de-gaulle,avenue,avenue de neuilly
neuilly-sur-seine,region,
avenue d'italie,avenue,
avenue george v,avenue,
avenue hoche,avenue,
avenue foch,avenue,
avenue d'iéna,avenue,
avenue kléber,avenue,
avenue des ternes,avenue,
avenue victor-hugo,avenue,
avenue de wagram,avenue,
passage des panoramas,street,
rue pastourelle,street,
rue de montmorency,street,
rue des francs-bourgeois,street,
rue elzévir,street,
rue charlemagne,street,
rue des rosiers,street,
rue du sommerard,street,
rue saint-séverin,street,
rue saint-jacques,street,
rue mouffetard,street,
rue lhomond,street,"rue des poteries, rue des pots, rue des postes"
la place georges-moustaki,street,
rue de la huchette,street,
rue de la harpe,street,
rue de l'estrapade,street,
rue cujas,street,
rue du chat-qui-pêche,street,
rue de la bûcherie,street,
rue du cloître-saint-benoît,street,
rue de l'abbaye,street,
rue d'assas,street,
rue bonaparte,street,
rue dauphine,street,
rue des grands-augustins,street,
rue monsieur-le-prince,street,
rue de nesle,street,
rue de l'odéon,street,
rue de seine,street,
rue de vaugirard,street,
rue vaneau,street,
rue de solférino,street,
rue saint-dominique,street,
rue oudinot,street,
rue du bac,street,
rue d'astorg,street,
rue la boétie,street,
fabergé & cie,jewlery store,
rue du faubourg saint-honoré,street,
rue greffulhe,street,
rue de laborde,street,
rue marbeuf,street,
rue pierre charron,street,
rue de presbourg,street,
rue de provence,street,
rue roquépine,street,
rue royale,street,
rue saint-lazare,street,
rue des saussaies,street,
rue de tilsitt,street,
rue d'abbeville,street,
rue de caumartin,street,
rue de la chaussée-d'antin,street,
passage du havre,street,
rue joubert,street,
rue la fayette,street,
rue laffitte,street,
rue du faubourg-saint-denis,street,
rue de la victoire,street,
rue alibert,street,
rue du dahomey,street,
rue nicolas-appert,street,
rue oberkampf,street,
rue saint-bernard,street,
chaussée de l'étang,street,
cours de vincennes,street,
rue des frigos,street,
rue zadkine,street,
rue d'alésia,street,
rue des entrepreneurs,street,
rue de la pompe,street,
villa saïd,cul-de-sac,
rue de tilsitt,street,
rue lepic,street,
rue marcadet,street,
rue d'orsel,street,
rue adolphe mille,street,
rue de belleville,street,
rue delesseux,street,
grands boulevards,boulevards,"les boulevards, the grand boulevards, the boulevards"
boulevards des maréchaux,boulevard,boulevards of the marshals
boulevard périphérique,boulevard,
boulevard de la zone,boulevard,
boulevard voltaire,boulevard,
boulevard du temple,boulevard,
boulevard de strasbourg,boulevard,
boulevard saint-michel,boulevard,
boulevard saint-germain,boulevard,
boulevard de rochechouart,boulevard,
boulevard richard-lenoir,boulevard,
boulevard raspail,boulevard,
boulevard du montparnasse,boulevard,
boulevard montmartre,boulevard,
boulevard de magenta,boulevard,
boulevard de la madeleine,boulevard,
boulevard des italiens,boulevard,
boulevard haussmann,boulevard,
boulevard de l'hôpital,boulevard,
boulevard du crime,boulevard,
boulevard de clichy,boulevard,
boulevard de la chapelle,boulevard,
boulevard des capucines,boulevard,
boulevard de l'amiral-bruix,boulevard,
boulevard beaumarchais,boulevard,
boulevard barbès,boulevard,
boulevard auguste-blanqui,boulevard,
